"","Quarter","Region","State","Purpose","Trips"
"1",1998-01-01,"Adelaide","South Australia","Business",135.0776903
"2",1998-04-01,"Adelaide","South Australia","Business",109.987316
"3",1998-07-01,"Adelaide","South Australia","Business",166.0346866
"4",1998-10-01,"Adelaide","South Australia","Business",127.1604643
"5",1999-01-01,"Adelaide","South Australia","Business",137.4485333
"6",1999-04-01,"Adelaide","South Australia","Business",199.9125861
"7",1999-07-01,"Adelaide","South Australia","Business",169.3550898
"8",1999-10-01,"Adelaide","South Australia","Business",134.3579372
"9",2000-01-01,"Adelaide","South Australia","Business",154.034398
"10",2000-04-01,"Adelaide","South Australia","Business",168.7763637
"11",2000-07-01,"Adelaide","South Australia","Business",223.0651159
"12",2000-10-01,"Adelaide","South Australia","Business",241.2206893
"13",2001-01-01,"Adelaide","South Australia","Business",132.5000378
"14",2001-04-01,"Adelaide","South Australia","Business",178.3980945
"15",2001-07-01,"Adelaide","South Australia","Business",195.9963258
"16",2001-10-01,"Adelaide","South Australia","Business",101.1746931
"17",2002-01-01,"Adelaide","South Australia","Business",237.8327914
"18",2002-04-01,"Adelaide","South Australia","Business",150.7266327
"19",2002-07-01,"Adelaide","South Australia","Business",167.7128424
"20",2002-10-01,"Adelaide","South Australia","Business",140.3395127
"21",2003-01-01,"Adelaide","South Australia","Business",139.4467919
"22",2003-04-01,"Adelaide","South Australia","Business",159.6580081
"23",2003-07-01,"Adelaide","South Australia","Business",232.1073047
"24",2003-10-01,"Adelaide","South Australia","Business",158.5960175
"25",2004-01-01,"Adelaide","South Australia","Business",138.4674189
"26",2004-04-01,"Adelaide","South Australia","Business",229.7141455
"27",2004-07-01,"Adelaide","South Australia","Business",242.4943675
"28",2004-10-01,"Adelaide","South Australia","Business",123.0611006
"29",2005-01-01,"Adelaide","South Australia","Business",127.9992552
"30",2005-04-01,"Adelaide","South Australia","Business",73.2530124
"31",2005-07-01,"Adelaide","South Australia","Business",166.7247035
"32",2005-10-01,"Adelaide","South Australia","Business",122.2969489
"33",2006-01-01,"Adelaide","South Australia","Business",127.247714
"34",2006-04-01,"Adelaide","South Australia","Business",176.075701
"35",2006-07-01,"Adelaide","South Australia","Business",157.857561
"36",2006-10-01,"Adelaide","South Australia","Business",106.677495
"37",2007-01-01,"Adelaide","South Australia","Business",134.3680297
"38",2007-04-01,"Adelaide","South Australia","Business",168.5935923
"39",2007-07-01,"Adelaide","South Australia","Business",146.1038104
"40",2007-10-01,"Adelaide","South Australia","Business",134.5737045
"41",2008-01-01,"Adelaide","South Australia","Business",127.1683903
"42",2008-04-01,"Adelaide","South Australia","Business",151.9719803
"43",2008-07-01,"Adelaide","South Australia","Business",152.2058109
"44",2008-10-01,"Adelaide","South Australia","Business",160.6362718
"45",2009-01-01,"Adelaide","South Australia","Business",113.8600217
"46",2009-04-01,"Adelaide","South Australia","Business",152.7243494
"47",2009-07-01,"Adelaide","South Australia","Business",121.9832332
"48",2009-10-01,"Adelaide","South Australia","Business",191.1538074
"49",2010-01-01,"Adelaide","South Australia","Business",68.7253928
"50",2010-04-01,"Adelaide","South Australia","Business",182.18332
"51",2010-07-01,"Adelaide","South Australia","Business",120.5336824
"52",2010-10-01,"Adelaide","South Australia","Business",155.0707525
"53",2011-01-01,"Adelaide","South Australia","Business",109.699807
"54",2011-04-01,"Adelaide","South Australia","Business",148.4397274
"55",2011-07-01,"Adelaide","South Australia","Business",140.6574624
"56",2011-10-01,"Adelaide","South Australia","Business",148.815411
"57",2012-01-01,"Adelaide","South Australia","Business",126.8571108
"58",2012-04-01,"Adelaide","South Australia","Business",154.920891
"59",2012-07-01,"Adelaide","South Australia","Business",150.0191305
"60",2012-10-01,"Adelaide","South Australia","Business",178.3637579
"61",2013-01-01,"Adelaide","South Australia","Business",101.6471351
"62",2013-04-01,"Adelaide","South Australia","Business",100.6409434
"63",2013-07-01,"Adelaide","South Australia","Business",179.8741671
"64",2013-10-01,"Adelaide","South Australia","Business",142.8077977
"65",2014-01-01,"Adelaide","South Australia","Business",127.3236791
"66",2014-04-01,"Adelaide","South Australia","Business",139.0854509
"67",2014-07-01,"Adelaide","South Australia","Business",173.3228706
"68",2014-10-01,"Adelaide","South Australia","Business",124.5883668
"69",2015-01-01,"Adelaide","South Australia","Business",143.5832868
"70",2015-04-01,"Adelaide","South Australia","Business",161.3704888
"71",2015-07-01,"Adelaide","South Australia","Business",180.4919573
"72",2015-10-01,"Adelaide","South Australia","Business",179.7114269
"73",2016-01-01,"Adelaide","South Australia","Business",193.3044037
"74",2016-04-01,"Adelaide","South Australia","Business",190.0252157
"75",2016-07-01,"Adelaide","South Australia","Business",195.9832501
"76",2016-10-01,"Adelaide","South Australia","Business",152.4288872
"77",1998-01-01,"Adelaide","South Australia","Holiday",223.5574059
"78",1998-04-01,"Adelaide","South Australia","Holiday",130.287369
"79",1998-07-01,"Adelaide","South Australia","Holiday",156.089398
"80",1998-10-01,"Adelaide","South Australia","Holiday",182.3289795
"81",1999-01-01,"Adelaide","South Australia","Holiday",185.33188
"82",1999-04-01,"Adelaide","South Australia","Holiday",134.6696903
"83",1999-07-01,"Adelaide","South Australia","Holiday",136.0347311
"84",1999-10-01,"Adelaide","South Australia","Holiday",168.6863799
"85",2000-01-01,"Adelaide","South Australia","Holiday",184.1202637
"86",2000-04-01,"Adelaide","South Australia","Holiday",134.3627013
"87",2000-07-01,"Adelaide","South Australia","Holiday",145.3610392
"88",2000-10-01,"Adelaide","South Australia","Holiday",150.513124
"89",2001-01-01,"Adelaide","South Australia","Holiday",160.2282407
"90",2001-04-01,"Adelaide","South Australia","Holiday",133.1343279
"91",2001-07-01,"Adelaide","South Australia","Holiday",153.773094
"92",2001-10-01,"Adelaide","South Australia","Holiday",181.4068405
"93",2002-01-01,"Adelaide","South Australia","Holiday",169.0469312
"94",2002-04-01,"Adelaide","South Australia","Holiday",114.2086238
"95",2002-07-01,"Adelaide","South Australia","Holiday",130.3304208
"96",2002-10-01,"Adelaide","South Australia","Holiday",130.4795052
"97",2003-01-01,"Adelaide","South Australia","Holiday",146.7703147
"98",2003-04-01,"Adelaide","South Australia","Holiday",126.7641332
"99",2003-07-01,"Adelaide","South Australia","Holiday",149.4360349
"100",2003-10-01,"Adelaide","South Australia","Holiday",111.0500583
"101",2004-01-01,"Adelaide","South Australia","Holiday",186.7720696
"102",2004-04-01,"Adelaide","South Australia","Holiday",135.9060186
